BENTLEY COLLEGE,BENTLEY COLLEGE,BENTLEY COLLEGE,BENTLEY COLLEGE,BENTLEY COLLEGE,BENTLEY COLLEGE,BENTLEY COLLEGE
COURSE NAME,DURATION,ENROLLMENT FEE,MATERIAL FEE,TUITION FEE,PROMO FEE,NOTES
Certificate III in Carpentry,52,$200,"$2,000","$10,000","$10,000",
Certificate III in Painting and Decorating,52,$200,"$2,000","$10,000","$10,000",
Certificate III in Wall and Floor Tiling,52,$200,"$2,000","$10,000","$10,000",
Certificate III in Cabinet Making and Timber Technology,52,$200,"$2,000","$10,000","$10,000",
Diploma of Building and Construction (Building),52,$200,"$2,000","$10,000","$10,000",
Certificate III in Glass and Glazing,52,$200,"$2,000","$10,000",$10.000,
Certificate IV in Glass and Glazing,52,$200,"$2,000","$10,000","$10,000",
Certificate III in Roof Plumbing,52,$200,"$2,000","$10,000","$10,000",
Certificate III in Solid Plastering,52,$200,"$2,000","$10,000","$10,000",
Certificate III in Stonemasonry,52,$200,"$2,000","$10,000","$10,000",
Certificate III in Wall and Ceiling Lining,52,$200,"$2,000","$10,000","$10,000",
Certificate IV in Marketing and Communication,36,$200,$300,"$4,200",$4.700,
Diploma of Marketing and Communication,52,$200,$300,"$6,000","$6,500",
Advanced Diploma of Marketing and Communication,78,$200,$300,"$9,000","$9,500",
Diploma of Business,52,$200,$300,"$6,000","$6,500",
Advanced Diploma of Business,78,$200,$300,"$9,000","$9,500",
Diploma of Leadership and Management,52,$200,$300,"$6,000","$6,500",
Advanced Diploma of Leadership and Management,78,$200,$300,"$9,000","$9,500",
Graduate Diploma of Management (Learning),104,$200,$500,"$16,000","$16,700",
Certificate III in Commercial Cookery,66,$200,"$1,200","$12,500","$13,900",
Certificate IV in Kitchen Management,26,$200,$300,"$3,500","$4,000",
Diploma of Hospitality Management,26,$200,$300,"$3,500","$4,000",
Advanced Diploma of Hospitality Management,26,$200,$300,"$3,500","$4,000",
Certificate III in Patisserie,52,$200,"$1,200","$9,000",$10.400,
General English(GE) Elementary to Upper Intermediate,10 Weeks per level,$200,$100 per level,$180 per level,$160 per level,
English for Academic Purposes(EAP) Intermediate to Advanced,10 weeks per level,$200,$100 per level,$180 per level,$160 per level,
