BENTLEY COLLEGE,BENTLEY COLLEGE,BENTLEY COLLEGE,BENTLEY COLLEGE,BENTLEY COLLEGE,BENTLEY COLLEGE,BENTLEY COLLEGE
COURSE NAME,DURATION (Weeks),ENROLLMENT FEE,MATERIAL FEE,TUITION FEE,TOTAL FEE,NOTES
Certificate III in Carpentry                                       Diploma of Building and Construction (Building) Graduate Diploma of Management (Learning),52+52+104,$200,"$2,000 +$2,000 +$500","$10,000 +$10,000 +$16,000",,
Certificate III in Painting and Decorating Diploma of Building and Construction (Building) Graduate Diploma of Management (Learning),52+52+104,$200,"$2,000 +$2,000 +$500","$10,000 +$10,000 +$16,000",,
Certificate III in Wall and Floor Tiling          Diploma of Building and Construction (Building) Graduate Diploma of Management (Learning),52+52+104,$200,"$2,000 +$2,000 +$500","$10,000 +$10,000 +$16,000",,
Certificate III in Cabinet Making and Timber Technology                                                                 Diploma of Building and Construction (Building) Graduate Diploma of Management (Learning),52+52+104,$200,"$2,000 +$2,000 +$500","$10,000 +$10,000 +$16,000",,
Certificate III in Glass and Glazing                           Certificate IV in Glass and Glazing                        Graduate Diploma of Management (Learning),52+52+104,$200,"$2,000 +$2,000 +$500","$10,000 +$10,000 +$16,000",,
Certificate IV in Glass and Glazing                       Diploma of Building and Construction (Building) Graduate Diploma of Management (Learning),52+52+104,$200,"$2,000 +$2,000 +$500","$10,000 +$10,000 +$16,000",,
Certificate III in Roof Plumbing                           Diploma of Building and Construction (Building) Graduate Diploma of Management (Learning),52+52+104,$200,"$2,000 +$2,000 +$500","$10,000 +$10,000 +$16,000",,
Certificate III in Solid Plastering                          Diploma of Building and Construction (Building) Graduate Diploma of Management (Learning),52+52+104,$200,"$2,000 +$2,000 +$500","$10,000 +$10,000 +$16,000",,
Certificate III in Stonemasonry                           Diploma of Building and Construction (Building) Graduate Diploma of Management (Learning),52+52+104,$200,"$2,000 +$2,000 +$500","$10,000 +$10,000 +$16,000",,
Certificate III in Wall and Ceiling Lining              Diploma of Building and Construction (Building) Graduate Diploma of Management (Learning),52+52+104,$200,"$2,000 +$2,000 +$500","$10,000 +$10,000 +$16,000",,
Certificate IV in Marketing and Communication Diploma of Marketing and Communication Graduate Diploma of Management (Learning),36+52+104,$200,$300 +$300 +$300,"$4,200 +$6,000 +$9,000",,
Diploma of Business                                                   Advance Diploma of Business,52+78,$200,$300  + $300,"$6,000 +$9,000",,
Diploma of Leadership and Management Advance Diploma of Leadership and Management                                                              Graduate Diploma of Management (Learning),52+78+104,$200, $300 +$300 +$500,"$6,000 +$9,000 +$16,000",,
Certificate III in Commercial Cookery                Certificate IV in Commercial Cookery,66+26,$200,"$1,200 +$300","$12,500 +$3,500",,
Certificate III in Commercial Cookery                   Certificate IV in Commercial Cookery                 Diploma of Hospitality Management                  Advanced Diploma of Hospitality Management,66+26+26+26,$200,"$1,200 +$300 +$300 +$300","$12,500 +$3,500 +$3,500 +$3,500",,
Certificate III in Patisserie                               Diploma of Hospitality Management                  Advanced Diploma of Hospitality Management,52+26+26,$200,"$1,200 +$300 +$300 ","$9,000 +$3,500 +$3,500 ",,
Diploma of Hospitality Management                  Advanced Diploma of Hospitality Management,26+26,$200,$300 +$300 ,"$3,500 +$3,500 ",,
